Title,Authors,Publisher,Published Date,Description,Page Count,Genre,Language,Preview Link
The Emotional Life of Money,Mary Cross,Bloomsbury Publishing USA,2017-09-15,"This fascinating book illustrates how human behavior regarding money is triggered by emotion and powered by our psychic makeup, empowering readers to better understand their own behavior and decision making with money. Beyond being an essential medium of exchange, money carries deep psychological significance: having enough of it confers power and status and provides the potential to sustain our lifestyle and fulfill our desires. Not having money triggers a breadth of negative emotions. This book explores the psychological payload money carries and the emotional effects it generates, allowing readers to better understand people's behavior with money and its effects on their own lives. The Emotional Life of Money: How Money Changes the Way We Think and Feel identifies common hang-ups and anxieties about money; summarizes current academic research on money behavior and how people make decisions about their money; discusses the newest branch of economics, behavioral economics; and explores the possibility of the disappearance of cash in the digital future. General readers will be able to comprehend why money has often generated intense feelings of desire, greed, envy, elation, and other emotions, as well as sense of status; and undergraduate students in psychology, economics, and sociology courses will benefit from learning about the latest research on behavior economics and the powerful psychological and emotional effects of money.",198,Business & Economics,en,http://books.google.co.in/books?id=H3zCEAAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=18&source=gbs_api
What is Money?,Rebecca Rissman,,2008,,24,Money,en,http://books.google.co.in/books?id=TO5xlAEACAAJ&dq=Money&hl=&cd=19&source=gbs_api
101 Ways to Be Smart about Money,Rebecca Vickers,Raintree,2012-08-10,Offers tips and advice on matters of personal finance.,58,Business & Economics,en,http://books.google.co.in/books?id=ZIdbFmjd2FgC&printsec=frontcover&dq=Money&hl=&cd=20&source=gbs_api
The Reality of Money,Eyja M. Brynjarsdóttir,Values and Identities: Crossing Philosophical Borders,2018,"A metaphysical investigation of money and monetary value, exploring money as a social phenomenon, the metaphysics of financial value, materialism and measurement.",0,Money,en,http://books.google.co.in/books?id=131hrgEACAAJ&dq=Money&hl=&cd=21&source=gbs_api
The Truth in Money Book,"Theodore R. Thoren, Richard F. Warner",,1980,,188,Business & Economics,en,http://books.google.co.in/books?id=n61PAAAAMAAJ&q=Money&dq=Money&hl=&cd=22&source=gbs_api
The Real Meaning of Money,Dorothy Rowe,HarperCollins UK,1998,"Rowe unravels the complex network of paradoxes which make up daily life to show how the individual meanings created, particularly those concerning money, are a fundamental part of the social, economic and political world we live in. Previously published in 1997.",494,Business & Economics,en,http://books.google.co.in/books?id=WdqeAAAAIAAJ&q=Money&dq=Money&hl=&cd=23&source=gbs_api
Mad Money Journey,Mehrab Irani,Jaico Publishing House,2014-08-26,"Mehrab’s latest book is a sweeping tale of mystery and adventure, with deep revelations on the nature of man and money. Tired of his energy- and money-draining middle-class life, Dr John Pinto decides to end it all by walking into oncoming traffic. But Life has other plans for him! Through a quirky twist of fate, John finds himself saved and launched into a financial pilgrimage across the world. Through a whirligig of exotic, shocking and sometimes dangerous encounters, he learns what it means to be financially independent. The school of Life introduces him to people who have learned the 10 commandments of financial freedom the hard way. From Afghani terrorists to Kenyan marathon runners, from Bangkok prostitutes to Chinese mystics and many more –­ each soul on this incredible journey holds a key insight into the relationship between man and money. To achieve true freedom, John will have to face it all –­ a turbulent odyssey of hair-raising adventure, unexpected teachers, monetary rewards and an overarching mission. A dazzling novel, written with wit, compassion, intelligence and deep humanity; travel with John Pinto to unearth the secrets of a rich life. MEHRAB IRANI is General Manager, Investments, at Tata Investment Corporation, Mumbai. He has diverse experience in both equity and fixed income markets, including research, dealing and portfolio management. Mehrab is fired by an almost missionary zeal for spreading financial knowledge among investors. His ability to connect abstract concepts to real life situations using his powerful imagination and plethora of skills reverberates through all his work. He is a prolific writer for newspapers, websites and his blog: www.intelligentmoney.blogspot.com. He also appears regularly on CNBC, ET Now, NDTV Profit, Bloomerg and radio.",209,Business & Economics,en,http://books.google.co.in/books?id=O6daBAAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=24&source=gbs_api
The Lack of Money is the Root of All Evil,Andrew Leckey,,2001,"Mark Twain loved to poke fun at the financial markets and the irresistible urge of speculation. Using Twain's words, financial journalist Leckey imparts the lessons today's investor can learn from Twain, combing his novels, stories, speeches, and letters for telling sayings about making, saving, guarding, and growing money.",264,Business & Economics,en,http://books.google.co.in/books?id=UcLZAAAAMAAJ&q=Money&dq=Money&hl=&cd=28&source=gbs_api
The Secret Life of Money,Tad Crawford,Simon and Schuster,2020-10-06,"The Secret Life of Money leads readers on a fascinating journey to uncover the sources of our monetary desires and, by understanding why money has the power to obsess us, free ourselves from destructive patterns and discover riches of the soul. This wide-ranging treatment of how money secretly influences our lives includes chapters on the many forms of money, why money is so easily worshipped, why money sometimes feels more important than life, hoarding money, the source of riches, inheritance, and the stock market. Crawford, a teller of entertaining tales, gathers stories and myths from around the world that help us understand why money is so much more than the useful tool that we may think it to be. Allworth Press, an imprint of Skyhorse Publishing, publishes a broad range of books on the visual and performing arts, with emphasis on the business of art. Our titles cover subjects such as graphic design, theater, branding, fine art, photography, interior design, writing, acting, film, how to start careers, business and legal forms, business practices, and more. While we don't aspire to publish a New York Times bestseller or a national bestseller, we are deeply committed to quality books that help creative professionals succeed and thrive. We often publish in areas overlooked by other publishers and welcome the author whose expertise can help our audience of readers.",250,Business & Economics,en,http://books.google.co.in/books?id=1s3_DwAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=29&source=gbs_api
Understanding Money,"Aditya Nain, P. G. Jung",Routledge Chapman & Hall,2021,"Economics and the Philosophical Discourse on Money -- On Conceptual Frameworks and the Role of a Philosophical Discourse on Money -- Aristotle and the Philosophical Discourse on Money: Ethics, Politics and the Nature of Monetary Value -- Objects, Money and the Grounds of Monetary Value -- Money and the Modern Scientific Paradigm -- The Political Economists, their Critics and the Long Shadow of Aristotle -- The Traditional Paradigm of Monetary Value and the Philosophical Problems surrounding it -- Moving Beyond the Substantive Framework of Monetary Value: Voices of Discontentment -- Origin of Money: The Barter Narrative and the Credit theory of Money -- Simmel and the Myth of Objective Truths Concerning Monetary Value -- Money Is What Money Does -- The constructivist paradigm: how are we to understand monetary value? -- Substance and Relation: Two Sides of the Same Coin -- Fleshing out the multi-categorical, constructivist framework for monetary value -- Why a constructivist framework of monetary value?",148,Money,en,http://books.google.co.in/books?id=tRw3zgEACAAJ&dq=Money&hl=&cd=31&source=gbs_api
Money,Rudolf Richter,Springer,1989-09-07,"The central idea of this book is the concept of a currency order. Monetary theory is developed as a theory of currency orders. The book expands the neoclassical theory of currency orders. This new way of looking at the problems permits a general view of the subject matter of monetary theory and policy which so far does not exist. The concept of transaction costs is used throughout. The book deals not only with the theories of the demand for and the supply of money, the banking firm, and the purchasing power of money. It also presents a theoretically based discussion of the great topics of monetary policy of our time: fixed vs. flexible exchange rates, gold vs. paper, rules vs. authority for the central banks, governmental currency monopoly vs. competition of private currencies, regulation vs. deregulation of commercial banks. The book is suitable as a text for students with a knowledge of money and banking and intermediate microeconomics. It offers a consistent and well-written presentation of the subject matter, as well as an extensive list of further readings.",399,Business & Economics,en,http://books.google.co.in/books?id=x6bZtwEACAAJ&dq=Money&hl=&cd=33&source=gbs_api
The Future of Money,Robert A. Hendrickson,"Englewood Cliffs, N.J : Prentice-Hall",1970,,360,Business & Economics,en,http://books.google.co.in/books?id=PtyeAAAAIAAJ&q=Money&dq=Money&hl=&cd=34&source=gbs_api
The Cost of Free Money,Paola Subacchi,Yale University Press,2020-09-15,"A penetrating account of how unchecked capital mobility is damaging international cooperation, polarizing the economic landscape, and ultimately reshaping the global order When it comes to the afflictions of the global economy, almost everyone—and especially Donald Trump—is quick to point the finger of blame at the state of international trade. But what about unconstrained capital flows? Unfettered capital has resulted in a string of financial and economic crises that have left our political systems strained and dialogue corroded. The once perceived benefits of openness have been cast to the wayside and the cracks in the global order can no longer be ignored. Paola Subacchi argues that international cooperation and interdependence have become crippled. Regional restrictions will soon strengthen and a multipolar order will take shape, leading to a distinctly transformed economic landscape in which China challenges the dominance of the US dollar. Combining history, analysis, and prediction, this book provides penetrating insight into the challenges facing the international economic order.",315,Business & Economics,en,http://books.google.co.in/books?id=4vnyDwAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=36&source=gbs_api
A Spiritual Guide to Money,"Mark S. Waldman, Ph.D, CFP",Xlibris Corporation,2001-07-13,"A Spiritual Guide to Money is a special kind of book. It is designed to give the serious seeker powerful tools to gain inner freedom and genuine spiritual experience. Like fishes swimming in the sea, unconscious of the water, we are unconscious of the psychological, emotional, and spiritual associations and reactions we have to the world of money that is all around us. Gaining awareness of these powerful beliefs, attitudes, and behaviors is a major step towards inner freedom. And inner freedom opens us to an entirely new spiritual awareness of ourselves and the world, regardless of the religious or spiritual tradition we follow. This book is full of stories that amuse and enlighten, and exercises that help the reader apply the book’s approach in his or her own life. It works at the psychological as well as on the spiritual level. It is written in nontechnical, easy-to-understand terms, and the easy, humorous tone it takes makes it fun to read. No matter what your spiritual beliefs, you can benefit from and enjoy reading this special book. Your relationship with money will never be the same again!",154,Business & Economics,en,http://books.google.co.in/books?id=Icdv4ty8-bkC&printsec=frontcover&dq=Money&hl=&cd=37&source=gbs_api
The Money Book,Vivek Law,Rupa Publications India,2016,"Everyone is told to save money, as our savings add up over the years to help secure our future. But what if you want your money to multiply? Today, you can start with investing as little as 1000 early on and not just dream of, but actually opt for, an early retirement. In this book, using relatable examples, Vivek Law, one of India's most experienced personal finance journalists, simplifies the process of saving and investing to bring you the best possible ways to multiply your money. Decoding terms like Mutual Funds, Equities and Life Insurance in a manner that will not bore you to death, he shows that you need not toil throughout your life to have a secure and comfortable lifestyle. Backed by market research spread over decades and with tips from the country's biggest money managers, The Money Book will help you get the one thing that everyone always needs and wants more of-money. It's time to live the life you deserve, not the one you settled for.",194,Business & Economics,en,http://books.google.co.in/books?id=3QLzjwEACAAJ&dq=Money&hl=&cd=40&source=gbs_api
Adventure,"Jack London, Sheba Blake",Sheba Blake Publishing,2021-11-15,"Though novelist Jack London is best known for the paean to natural wonder that is The Call of the Wild, he had an activist side, as well. In Adventure, London describes and skewers the plantation system of The Solomon Islands in a devastating take-down that is equal parts adventure tale and social justice tract.",279,Fiction,en,http://books.google.co.in/books?id=AgFMEAAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=1&source=gbs_api
The Island of Adventure,Enid Blyton,DigiCat,2022-08-01,"DigiCat Publishing presents to you this special edition of ""The Island of Adventure"" by Enid Blyton. DigiCat Publishing considers every written word to be a legacy of humankind. Every DigiCat book has been carefully reproduced for republishing in a new modern format. The books are available in print, as well as ebooks. DigiCat hopes you will treat this work with the acknowledgment and passion it deserves as a classic of world literature.",192,Fiction,en,http://books.google.co.in/books?id=znd_EAAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=5&source=gbs_api
The Adventures of Tom Sawyer,Mark Twain,Courier Corporation,1998-01-01,"This childhood classic relates a small-town boy's pranks and escapades with timeless humor and wisdom. In addition to his everyday stunts (searching for buried treasure, trying to impress the adored Becky Thatcher), Tom experiences a dramatic turn of events when he witnesses a murder, runs away, and returns to attend his own funeral and testify in court. A selection of the Common Core State Standards Initiative.",195,Fiction,en,http://books.google.co.in/books?id=wWLcDAAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=7&source=gbs_api
Adventure in North Pole,Arjit Jha,,2019-09-13,"A man dies under mysterious circumstances. After his death, his wife remarries but her sons, Antonio and Jayden, find it difficult to bond with their step-father. They tolerate him on account of their mother. They do not want anyone to try and take their father's place. Frustrated with the situation, their mother decides to send all of them on a trip together, so they can bond. The only reason Antonio and Jayden agree to go on the trip is, that they will get to ride in a helicopter. But the helicopter never reaches its destination. No one knows its location. No one knows whether anyone on the helicopter has made it alive. Elsewhere, five archaeologists are abducted and taken to a secret location. Who has abducted the archaeologists? Are all these events connected? Will Antonio and Jayden make it back alive? This is a story of how an ordinary trip turns into an extraordinary adventure. Promote reading, imagination, creativity with this book of an extraordinary adventure story book, and conquering difficult situations. More adventure story books",172,Fiction,en,http://books.google.co.in/books?id=Y-dmygEACAAJ&dq=Adventure&hl=&cd=16&source=gbs_api
The Adventure of the Bruce-Partington Plans,Sir Arthur Conan Doyle,ReadHowYouWant.com,2008-06-04,"Arthur Conan Doyle's The Adventure of the Bruce-Partington Plans (1912) features Mycroft, Sherlock Holmes' brother. The intricate plot involves stolen manuscripts containing designs of the Bruce-Partington submarine. The documents are of national importance, but their recovery is hindered by murder, missing persons, and treason.",74,Fiction,en,http://books.google.co.in/books?id=rotL8p23gIsC&printsec=frontcover&dq=Adventure&hl=&cd=17&source=gbs_api
The Adventures of Huckleberry Finn,Mark Twain,Simon and Schuster,2016-05-17,"Packaged in handsome, affordable trade editions, Clydesdale Classics is a new series of essential literary works. The series features literary phenomena with influence and themes so great that, after their publication, they changed literature forever. From the musings of literary geniuses such as Nathaniel Hawthorne in The Scarlet Letter, to the striking personal narratives from Harriet Jacobs in Incidents in the Life of a Slave Girl, this new series is a comprehensive collection of our history through the words of an exceptional few. Ernest Hemingway once said: “All modern American literature comes from one book by Mark Twain called Huckleberry Finn. American writing comes from that. There was nothing before. There has been nothing as good since.” Often referred to as “the great American novel,” The Adventures of Huckleberry Finn defined American literature with its richness of characters, colorful vernacular, and vibrant depictions of the American Midwest. Told in the first-person from the viewpoint of the classic protagonist, the satirical narrative follows young “Huck” Finn as he searches for escape and adventure along the Mississippi River. The story begins where Twain’s previous novel, The Adventures of Tom Sawyer, left off: Huck and his friend Tom Sawyer come into a large sum of money, and Huck is adopted by a middle-class widow who attempts to civilize him. Accustomed to a poor, destitute existence and vagabonding with his abusive alcoholic father, Huck quickly becomes dissatisfied with the confines and rigidity of his new life. When his father returns and begins to harass him for money, Huck is kidnapped and taken to his father’s cabin, where he longs to escape. After faking his own death, Huck escapes to Jackson’s Island where he meets a slave named Jim, who is also running away. Together, they travel on a raft up the Mississippi River in search of freedom. An absolute, uncontested classic, The Adventures of Huckleberry Finn is one of the greatest coming-of-age adventure tales of our time.",264,Fiction,en,http://books.google.co.in/books?id=fzKCDwAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=19&source=gbs_api
An Adventure,"C. A. E. Moberly, Eleanor F. Jourdain",DigiCat,2023-11-20,"Renowned 20th-century authors Moberly and Jourdain describe a visit they made to the Petit Trianon, a small château on the grounds of the Palace of Versailles. At the chateau, they see the chilling sight of the gardens as they had been in the late eighteenth century. Moberly and Jourdain cross paths with several terrifying ghosts of famous figures including Marie Antoinette.",98,Fiction,en,http://books.google.co.in/books?id=1nPiEAAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=22&source=gbs_api
Adventure Tourism,"Steve Taylor, Peter Varley, Tony Johnston",Routledge,2013-02-11,"Adventure tourism is an increasingly widespread phenomenon, appealing to an expanding proportion of the population who seek new destinations and new experiences. This timely, edited volume offers new theoretical perspectives of this emerging subset of Tourism. it uses philosophical and cutting edge empirically grounded research to challenge existing thinking and develop the conceptual framework underpinning definitions of adventure, interrogating the adventure tourism experience and further building upon recent advances in adventure education. The book brings together adventure literature from range of disciplines and applies it to focused study of Adventure Tourism. By doing so it significantly furthers understanding and moves forward this development of this area of Tourism. This significant volume is written by leading academics in the area, and will be valuable reading for all those interested in Adventure Tourism.",210,Business & Economics,en,http://books.google.co.in/books?id=L1YY4FDOdxkC&printsec=frontcover&dq=Adventure&hl=&cd=25&source=gbs_api
The Adventure of the Three Gables,Arthur Conan Doyle,Lindhardt og Ringhof,2020-09-28,"The criminal Steve Dixie comes to 221B Baker Street, warning Sherlock Holmes not set a foot in Harlow unless he wants trouble with him. But Holmes has just received a message from Mrs. Maberley, who has been living at the Three Gables in Harlow for almost two years. Her son has just died in Rome and someone is trying to buy her out of her house with a most unconventional contract; Holmes is set on helping her. ""The Adventure of the Three Gables"" is part of ""The Case-Book of Sherlock Holmes"". Sir Arthur Conan Doyle (1859-1930) was born in Scotland and studied medicine at the University of Edinburgh. After his studies, he worked as a ship’s surgeon on various boats. During the Second Boer War, he was an army doctor in South Africa. When he came back to the United Kingdom, he opened his own practice and started writing crime books. He is best known for his thrilling stories about the adventures of Sherlock Holmes. He published four novels and more than 50 short-stories starring the detective and Dr Watson, and they play an important role in the history of crime fiction. Other than the Sherlock Holmes series, Doyle wrote around thirty more books, in genres such as science-fiction, fantasy, historical novels, but also poetry, plays, and non-fiction.",26,Fiction,en,http://books.google.co.in/books?id=OPf8DwAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=31&source=gbs_api
Alanna,Tamora Pierce,Simon and Schuster,2014-10-21,"Eleven-year-old Alanna, who aspires to be a knight even though she is a girl, disguises herself as a boy to become a royal page, learning many hard lessons along her path to high adventure.",272,Fiction,en,http://books.google.co.in/books?id=DEJHDgAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=33&source=gbs_api
The Castle of Adventure,Enid Blyton,DigiCat,2022-08-01,"DigiCat Publishing presents to you this special edition of ""The Castle of Adventure"" by Enid Blyton. DigiCat Publishing considers every written word to be a legacy of humankind. Every DigiCat book has been carefully reproduced for republishing in a new modern format. The books are available in print, as well as ebooks. DigiCat hopes you will treat this work with the acknowledgment and passion it deserves as a classic of world literature.",168,Fiction,en,http://books.google.co.in/books?id=NIp_EAAAQBAJ&printsec=frontcover&dq=Adventure&hl=&cd=34&source=gbs_api
English Drama: Forms and Development,Muriel Clara Bradbrook,Cambridge University Press,1977-10-20,Ten original essays on English drama from Tudor times onwards examines different aspects on the development of this art form.,278,Literary Criticism,en,http://books.google.co.in/books?id=DgizRLb9_AsC&printsec=frontcover&dq=Drama&hl=&cd=3&source=gbs_api
Modern Verse Drama,Arnold P. Hinchliffe,Routledge,2017-07-14,"First published in 1977, this book provides a clear and well-illustrated analysis of modern verse drama. It studies the work of its chief exponents, T. S. Eliot and Christopher Fry, as well as the genre’s place in the development of modern theatre. It particular focuses on the effect that verse drama has had on an audience’s awareness of language in the theatre, paving the way for dramatists like Pinter, Beckett and Wesker. This book will be of particular interest to those studying modern poetry and drama.",98,Literary Criticism,en,http://books.google.co.in/books?id=C68sDwAAQBAJ&printsec=frontcover&dq=Drama&hl=&cd=4&source=gbs_api
Drama in the Modern World: Plays & Essays,,書林出版有限公司,1996,,580,"Drama, Modern",en,http://books.google.co.in/books?id=SrwqYP3o5gMC&printsec=frontcover&dq=Drama&hl=&cd=7&source=gbs_api
The Drama,,,1918,,970,Drama,en,http://books.google.co.in/books?id=MmE5AQAAIAAJ&q=Drama&dq=Drama&hl=&cd=8&source=gbs_api
Modern American Drama: Playwriting in the 1960s,Mike Sell,Bloomsbury Publishing,2019-11-14,"The Decades of Modern American Drama series provides a comprehensive survey and study of the theatre produced in each decade from the 1930s to 2009 in eight volumes. Each volume equips readers with a detailed understanding of the context from which work emerged: an introduction considers life in the decade with a focus on domestic life and conditions, social changes, culture, media, technology, industry and political events; while a chapter on the theatre of the decade offers a wide-ranging and thorough survey of theatres, companies, dramatists, new movements and developments in response to the economic and political conditions of the day. The work of the four most prominent playwrights from the decade receives in-depth analysis and re-evaluation by a team of experts, together with commentary on their subsequent work and legacy. A final section brings together original documents such as interviews with the playwrights and with directors, drafts of play scenes, and other previously unpublished material. The major playwrights and their plays to receive in-depth coverage in this volume include: * Edward Albee: The American Dream (1960), Who's Afraid of Virginia Woolf? (1962), A Delicate Balance (1966) and Tiny Alice (1964 ); * Amiri Baraka: Dutchman (1964), The Slave (1964) and Slaveship (1967); * Adrienne Kennedy: Funnyhouse of a Negro (1964), Cities in Bezique (The Owl Answers and A Beast's Story, 1969), and A Rat's Mass (1967); * Jean-Claude van Itallie: American Hurrah (1966), The Serpent (1968) and War (1963).",260,Literary Criticism,en,http://books.google.co.in/books?id=2H67DwAAQBAJ&printsec=frontcover&dq=Drama&hl=&cd=9&source=gbs_api
